,funcion_activacion,talla,tiempo,desviacion
0,lineal,12,156.88541228311078,0
1,sigmoid,12,160.74453742007609,0
2,tanh,12,158.87695318320766,0
3,relu,12,161.68576381084858,0
4,selu,12,160.90483831585152,0
5,elu,12,159.65345023818372,0
6,gelu,12,238.3394339748047,0
7,swish,12,180.8920099021052,0
8,mish,12,188.85218695415824,0
9,lisht,12,188.77623450479587,0
10,lineal,13,160.19430943884072,0
11,sigmoid,13,164.76799207575095,0
12,tanh,13,164.15918390796287,0
13,relu,13,161.97000889107585,0
14,selu,13,164.02658082704875,0
15,elu,13,165.16700150821998,0
16,gelu,13,244.9625035512436,0
17,swish,13,182.65353038984176,0
18,mish,13,193.66881756606745,0
19,lisht,13,190.1745257400471,0
20,lineal,14,164.0817261968623,0
21,sigmoid,14,168.43483698595082,0
22,tanh,14,168.16786010899523,0
23,relu,14,165.24553395889234,0
24,selu,14,167.66400749799504,0
25,elu,14,168.80163220214308,0
26,gelu,14,248.2372696549719,0
27,swish,14,188.69225104586803,0
28,mish,14,192.88936224681677,0
29,lisht,14,196.72841556665665,0
30,lineal,15,165.9777547851263,0
31,sigmoid,15,170.66118507391366,0
32,tanh,15,170.78089267393807,0
33,relu,15,170.66773600805027,0
34,selu,15,170.6982568808744,0
35,elu,15,170.8365804789355,0
36,gelu,15,252.6367550547002,0
37,swish,15,191.5024312409514,0
38,mish,15,197.26898623503803,0
39,lisht,15,197.61523981312348,0
40,lineal,16,166.90077909817046,0
41,sigmoid,16,,0
42,tanh,16,171.99756939975487,0
43,relu,16,171.4906096640043,0
44,selu,16,175.10838464107655,0
45,elu,16,171.3339048501948,0
46,gelu,16,255.54917294911863,0
47,swish,16,197.35304945691317,0
48,mish,16,198.0647860310128,0
49,lisht,16,203.8680595550395,0
50,lineal,17,170.72391167514434,0
51,sigmoid,17,175.48438184376573,0
52,tanh,17,175.49243227099942,0
53,relu,17,,0
54,selu,17,175.63340304281155,0
55,elu,17,175.49584427995433,0
56,gelu,17,260.36869992982247,0
57,swish,17,196.5039082049043,0
58,mish,17,201.90159466718612,0
59,lisht,17,202.7123336461664,0
60,lineal,18,173.32270400208654,0
61,sigmoid,18,174.3508723392588,0
62,tanh,18,179.94889242912177,0
63,relu,18,179.5288289260352,0
64,selu,18,173.41897996484477,0
65,elu,18,180.2375328290218,0
66,gelu,18,262.1928353608382,0
67,swish,18,201.03813811099096,0
68,mish,18,206.44842678493296,0
69,lisht,18,200.71705097093945,0
70,lineal,19,177.39324744934856,0
71,sigmoid,19,176.98891416183324,0
72,tanh,19,184.48745162606065,0
73,relu,19,177.1463976820378,0
74,selu,19,184.19983566484007,0
75,elu,19,177.4851926642441,0
76,gelu,19,267.8216874459031,0
77,swish,19,198.10803783190204,0
78,mish,19,212.79151514430123,0
79,lisht,19,204.50695292909225,0
80,lineal,20,182.9530146617908,0
81,sigmoid,20,182.1932405126572,0
82,tanh,20,181.27949734103456,0
83,relu,20,181.07903819682545,0
84,selu,20,187.53918814504868,0
85,elu,20,182.2834710629395,0
86,gelu,20,266.51259345676226,0
87,swish,20,201.7979606300505,0
88,mish,20,214.872260102944,0
89,lisht,20,210.2577382111631,0
90,lineal,21,180.25192963807785,0
91,sigmoid,21,185.37811110682375,0
92,tanh,21,,0
93,relu,21,185.51781475813183,0
94,selu,21,185.37603668667725,0
95,elu,21,185.3272793639626,0
96,gelu,21,271.9619076190429,0
97,swish,21,214.74248297892336,0
98,mish,21,212.6391927611112,0
99,lisht,21,213.962086576852,0
100,lineal,22,183.20227565713867,0
101,sigmoid,22,188.0941130620049,0
102,tanh,22,187.0863412110048,0
103,relu,22,181.69021983694984,0
104,selu,22,189.3703263229254,0
105,elu,22,189.0506650109892,0
106,gelu,22,277.2803353230993,0
107,swish,22,210.81666252180003,0
108,mish,22,217.0700739381864,0
109,lisht,22,217.19703316822412,0
110,lineal,23,186.5974674818135,0
111,sigmoid,23,189.45044622078424,0
112,tanh,23,185.36679808067856,0
113,relu,23,192.95439806723152,0
114,selu,23,192.332385591435,0
115,elu,23,190.7554396931664,0
116,gelu,23,273.2285933520179,0
117,swish,23,214.81293930698305,0
118,mish,23,220.7520689421217,0
119,lisht,23,220.4311108441907,0
120,lineal,24,180.09933607446146,0
121,sigmoid,24,196.86388417024864,0
122,tanh,24,195.53260400745785,0
123,relu,24,185.77268890597043,0
124,selu,24,196.9674422968528,0
125,elu,24,195.2080542447802,0
126,gelu,24,277.03799615745083,0
127,swish,24,218.6800471226452,0
128,mish,24,220.3259342133824,0
129,lisht,24,216.76595177612035,0
130,lineal,25,194.66565738082863,0
131,sigmoid,25,187.79554856207687,0
132,tanh,25,200.614038623462,0
133,relu,25,195.78884161185124,0
134,selu,25,191.9123349516012,0
135,elu,25,197.9005708893528,0
136,gelu,25,281.7102036078868,0
137,swish,25,221.1631049045245,0
138,mish,25,218.0476372996636,0
139,lisht,25,228.7375724100857,0
140,lineal,26,185.66412157556624,0
141,sigmoid,26,203.20313562988304,0
142,tanh,26,191.58662608647137,0
143,relu,26,202.72726945020256,0
144,selu,26,192.0945702184981,0
145,elu,26,201.4292058884457,0
146,gelu,26,285.69033353967825,0
147,swish,26,213.4521904435824,0
148,mish,26,233.7345939669176,0
149,lisht,26,219.593285916606,0
150,lineal,27,201.8040077932237,0
151,sigmoid,27,194.8023891268531,0
152,tanh,27,203.63199482575877,0
153,relu,27,198.15358996132272,0
154,selu,27,193.7947076139972,0
155,elu,27,207.00029688095677,0
156,gelu,27,289.1787383335759,0
157,swish,27,217.45295480411733,0
158,mish,27,235.15572285908277,0
159,lisht,27,225.55946901548305,0
160,lineal,28,190.97975338320248,0
161,sigmoid,28,211.5157661009871,0
162,tanh,28,198.1236091494211,0
163,relu,28,196.65608818561304,0
164,selu,28,210.7560315853625,0
165,elu,28,198.78783057886176,0
166,gelu,28,293.7477694450645,0
167,swish,28,219.31327481591143,0
168,mish,28,240.46962221499416,0
169,lisht,28,228.880454927159,0
170,lineal,29,194.33554382747388,0
171,sigmoid,29,212.4382313862734,0
172,tanh,29,203.5481520126341,0
173,relu,29,201.0407406305312,0
174,selu,29,199.8652580140624,0
175,elu,29,212.2182141142839,0
176,gelu,29,285.5579323807615,0
177,swish,29,239.96317660645585,0
178,mish,29,229.72802151201176,0
179,lisht,29,228.42940291558625,0
180,lineal,30,209.24173824177703,0
181,sigmoid,30,206.55591911668307,0
182,tanh,30,203.9047520738677,0
183,relu,30,203.1022316927265,0
184,selu,30,202.6136841140105,0
185,elu,30,213.03248867974617,0
186,gelu,30,292.0917357719445,0
187,swish,30,241.1034124826256,0
188,mish,30,234.32074330182516,0
189,lisht,30,233.1158126668015,0
190,lineal,31,200.144627190748,0
191,sigmoid,31,205.67407147487395,0
192,tanh,31,205.35883653658675,0
193,relu,31,220.6456158758083,0
194,selu,31,207.8112200401083,0
195,elu,31,206.92185694884392,0
196,gelu,31,300.3467639226292,0
197,swish,31,234.7317358721048,0
198,mish,31,235.53485153411748,0
199,lisht,31,235.1079752877995,0
200,lineal,32,202.68247230601264,0
201,sigmoid,32,208.16974313973333,0
202,tanh,32,208.36693780863425,0
203,relu,32,221.0174014478107,0
204,selu,32,211.5296646313218,0
205,elu,32,209.9652571605402,0
206,gelu,32,293.39307012956124,0
207,swish,32,246.1958213711332,0
208,mish,32,239.7118343231268,0
209,lisht,32,241.3347151474154,0
210,lineal,33,205.98229002585867,0
211,sigmoid,33,211.8769321278669,0
212,tanh,33,211.82975980918852,0
213,relu,33,211.88746078888653,0
214,selu,33,211.57172666140832,0
215,elu,33,211.64642527711112,0
216,gelu,33,309.7823274034017,0
217,swish,33,239.48684407401012,0
218,mish,33,241.92101084746537,0
219,lisht,33,241.99277328301105,0
220,lineal,34,208.0398670110735,0
221,sigmoid,34,214.2861655697343,0
222,tanh,34,214.36395647955945,0
223,relu,34,214.3925748310576,0
224,selu,34,214.52678584042587,0
225,elu,34,214.33099995620432,0
226,gelu,34,298.2942531001463,0
227,swish,34,254.6123664674524,0
228,mish,34,242.1023962274776,0
229,lisht,34,248.1367667512095,0
230,lineal,35,208.83777388732412,0
231,sigmoid,35,215.55324651495903,0
232,tanh,35,214.80060693214185,0
233,relu,35,203.87667115425572,0
234,selu,35,217.50916752041667,0
235,elu,35,217.61474465532228,0
236,gelu,35,324.4764553657442,0
237,swish,35,242.48041919394743,0
238,mish,35,248.1361557180644,0
239,lisht,35,248.3029681921471,0
240,lineal,36,213.73423500245556,0
241,sigmoid,36,219.89456835048625,0
242,tanh,36,219.2773669899616,0
243,relu,36,218.4527158360288,0
